year,towns_suburbs,value
2016,Dundalk,2570
2016,Swords,-692
2016,Bray,-2655
2016,Navan (An Uaimh),-853
2016,Ennis,1699
2016,Kilkenny,4679
2016,Tralee,5892
2016,Carlow,1103
2016,Droichead Nua,-1337
2016,Naas,2483
2016,Athlone,6499
2016,Portlaoise,2019
2016,Mullingar,2241
2016,Wexford,5575
2016,Balbriggan,-3297
2016,Letterkenny,4973
2016,Celbridge,-5598
2016,Sligo,7360
2016,Clonmel,1483
2016,Greystones,-4147
2016,Malahide,-4030
2016,Leixlip,-224
2016,Carrigaline,-4148
2016,Tullamore,3947
2016,Killarney,2732
2016,Arklow,-809
2016,Maynooth,-229
2016,Cobh,-2876
2016,Castlebar,5105
2016,Midleton,-415
2016,Mallow,-89
2016,Ashbourne,-2997
2016,Ballina,1843
2016,Laytown-Bettystown-Mornington,-3044
2016,Enniscorthy,1144
2016,Wicklow,-987
2016,Tramore,-1692
2016,Cavan,2239
2016,Athy,-289
2016,Shannon,914
2016,Skerries,-2147
2016,Longford,2616
2016,Dungarvan,566
2016,Portmarnock,-2536
2016,Rush,-2497
2016,Gorey,530
2016,Ratoath,-2663
2016,Nenagh,1642
2016,Trim,-532
2016,Tuam,1066
2016,New Ross,818
2016,Kildare,-641
2016,Thurles,1142
2016,Youghal,-568
2016,Portarlington,-1113
2016,Monaghan,1095
2016,Lusk,-2365
2016,Edenderry,-419
2016,Dunboyne,-1526
2016,Buncrana,176
2016,Donabate,-2163
2016,Clane,-1504
2016,Ballinasloe,1290
2016,Bandon,-20
2016,Fermoy,-4
2016,Newcastle West,337
2016,Westport,2013
2016,Carrick-on-Suir,-210
2016,Kells (Ceanannas),-319
2016,Birr,310
2016,Kinsealy-Drinan,-2313
2016,Passage West,-1721
2016,Roscommon,2099
2016,Kilcock,-1577
2016,Roscrea,292
2016,Tipperary,849
2016,Sallins,-1959
2016,Loughrea,409
2016,Blessington,-904
2016,Ardee,257
2016,Carrickmacross,263
2016,Kinsale,24
2016,Ballybofey-Stranorlar,603
2016,Listowel,735
2016,Oranmore,-1158
2016,Mountmellick,-303
2016,Clonakilty,825
2016,Carrigtwohill,-1061
2016,Cashel,420
2016,Kilcoole,-613
2016,Duleek,-757
2016,Carrick-on-Shannon,1507
2016,Tullow,-168
2016,Athenry,-161
2016,Dunshaughlin,-538
2016,Macroom,284
2016,Monasterevin,-286
2016,Mitchelstown,353
2016,Rathluirc (or Charleville),1078
2016,Castleblayney,482
2016,Cahir,67
2016,Kilcullen,-394
2016,Rathcoole,-825
2016,Claremorris,91
2016,Bantry,958
2016,Tower,-904
2016,Clara,-389
2016,Stamullen,-838
2016,Kill,-1019
2016,Rathnew,-402
2016,Muinebeag,648
2016,Enfield,-707
2016,Courtown Harbour,-556
2016,Annacotty,-357
2016,Moate,-358
2016,Ballinrobe,133
2016,Kilrush,578
2016,Skibbereen,776
2016,Kinnegad,-415
2016,Newcastle,-852
2016,Gort,253
2016,Donegal,870
2016,Boyle,374
2016,Ballyjamesduff,-321
2016,Carndonagh,482
2016,Bailieborough,3
2016,Castleisland,574
2016,Sixmilebridge,-748
2016,Ballyshannon,293
2016,Ballina (North Tipperary),-633
2016,Blarney,-204
2016,Newtownmountkennedy,-24
2016,Athboy,-275
2016,Rathangan,-422
2016,Callan,81
2016,Kingscourt,-207
2016,Ballyhaunis,547
2016,Virginia,-181
2016,Thomastown,-158
2016,Kanturk,39
2016,Prosperous,-409
2016,Kenmare,296
2016,Saggart,-992
2016,Bundoran,59
2016,Cootehill,302
