year,sex,means_of_travel,towns_by_size,age_range,edu_status,value
2016,Male,walking,Cashel,13-18,at secondary school,68
2016,Male,walking,Cashel,19-66,at university,15
2016,Male,walking,Kilcoole,15-66,working,28
2016,Male,walking,Kilcoole,5-12,at primary school,82
2016,Male,walking,Kilcoole,13-18,at secondary school,75
2016,Male,walking,Kilcoole,19-66,at university,5
2016,Male,walking,Duleek,15-66,working,17
2016,Male,walking,Duleek,5-12,at primary school,14
2016,Male,walking,Duleek,13-18,at secondary school,1
2016,Male,walking,Duleek,19-66,at university,0
2016,Male,walking,Carrick-on-Shannon,15-66,working,138
2016,Male,walking,Carrick-on-Shannon,5-12,at primary school,42
2016,Male,walking,Carrick-on-Shannon,13-18,at secondary school,55
2016,Male,walking,Carrick-on-Shannon,19-66,at university,12
2016,Male,walking,Tullow,15-66,working,69
2016,Male,walking,Tullow,5-12,at primary school,91
2016,Male,walking,Tullow,13-18,at secondary school,91
2016,Male,walking,Tullow,19-66,at university,7
2016,Male,walking,Athenry,15-66,working,77
2016,Male,walking,Athenry,5-12,at primary school,77
2016,Male,walking,Athenry,13-18,at secondary school,84
2016,Male,walking,Athenry,19-66,at university,5
2016,Male,walking,Dunshaughlin,15-66,working,27
2016,Male,walking,Dunshaughlin,5-12,at primary school,128
2016,Male,walking,Dunshaughlin,13-18,at secondary school,179
2016,Male,walking,Dunshaughlin,19-66,at university,6
2016,Male,walking,Macroom,15-66,working,68
2016,Male,walking,Macroom,5-12,at primary school,56
2016,Male,walking,Macroom,13-18,at secondary school,56
2016,Male,walking,Macroom,19-66,at university,15
2016,Male,walking,Monasterevin,15-66,working,20
2016,Male,walking,Monasterevin,5-12,at primary school,69
2016,Male,walking,Monasterevin,13-18,at secondary school,49
2016,Male,walking,Monasterevin,19-66,at university,3
2016,Male,walking,Mitchelstown,15-66,working,112
2016,Male,walking,Mitchelstown,5-12,at primary school,66
2016,Male,walking,Mitchelstown,13-18,at secondary school,90
2016,Male,walking,Mitchelstown,19-66,at university,17
2016,Male,walking,Rathluirc (or Charleville),15-66,working,83
2016,Male,walking,Rathluirc (or Charleville),5-12,at primary school,75
2016,Male,walking,Rathluirc (or Charleville),13-18,at secondary school,49
2016,Male,walking,Rathluirc (or Charleville),19-66,at university,14
2016,Male,walking,Castleblayney,15-66,working,71
2016,Male,walking,Castleblayney,5-12,at primary school,50
2016,Male,walking,Castleblayney,13-18,at secondary school,72
2016,Male,walking,Castleblayney,19-66,at university,13
2016,Male,walking,Cahir,15-66,working,95
2016,Male,walking,Cahir,5-12,at primary school,44
2016,Male,walking,Cahir,13-18,at secondary school,71
2016,Male,walking,Cahir,19-66,at university,15
2016,Male,walking,Kilcullen,15-66,working,36
2016,Male,walking,Kilcullen,5-12,at primary school,138
2016,Male,walking,Kilcullen,13-18,at secondary school,83
2016,Male,walking,Kilcullen,19-66,at university,3
2016,Male,walking,Rathcoole,15-66,working,37
2016,Male,walking,Rathcoole,5-12,at primary school,152
2016,Male,walking,Rathcoole,13-18,at secondary school,61
2016,Male,walking,Rathcoole,19-66,at university,0
2016,Male,walking,Claremorris,15-66,working,76
2016,Male,walking,Claremorris,5-12,at primary school,36
2016,Male,walking,Claremorris,13-18,at secondary school,16
2016,Male,walking,Claremorris,19-66,at university,22
2016,Male,walking,Bantry,15-66,working,88
2016,Male,walking,Bantry,5-12,at primary school,41
2016,Male,walking,Bantry,13-18,at secondary school,37
2016,Male,walking,Bantry,19-66,at university,9
2016,Male,walking,Tower,15-66,working,6
2016,Male,walking,Tower,5-12,at primary school,9
2016,Male,walking,Tower,13-18,at secondary school,1
2016,Male,walking,Tower,19-66,at university,2
2016,Male,walking,Clara,15-66,working,49
2016,Male,walking,Clara,5-12,at primary school,46
2016,Male,walking,Clara,13-18,at secondary school,50
2016,Male,walking,Clara,19-66,at university,3
2016,Male,walking,Stamullen,15-66,working,13
2016,Male,walking,Stamullen,5-12,at primary school,178
2016,Male,walking,Stamullen,13-18,at secondary school,8
2016,Male,walking,Stamullen,19-66,at university,2
2016,Male,walking,Kill,15-66,working,11
2016,Male,walking,Kill,5-12,at primary school,76
2016,Male,walking,Kill,13-18,at secondary school,2
2016,Male,walking,Kill,19-66,at university,2
2016,Male,walking,Rathnew,15-66,working,27
2016,Male,walking,Rathnew,5-12,at primary school,51
2016,Male,walking,Rathnew,13-18,at secondary school,61
2016,Male,walking,Rathnew,19-66,at university,4
2016,Male,walking,Muinebeag,15-66,working,89
2016,Male,walking,Muinebeag,5-12,at primary school,90
2016,Male,walking,Muinebeag,13-18,at secondary school,76
2016,Male,walking,Muinebeag,19-66,at university,4
2016,Male,walking,Enfield,15-66,working,30
2016,Male,walking,Enfield,5-12,at primary school,170
2016,Male,walking,Enfield,13-18,at secondary school,4
2016,Male,walking,Enfield,19-66,at university,2
2016,Male,walking,Courtown Harbour,15-66,working,11
2016,Male,walking,Courtown Harbour,5-12,at primary school,87
2016,Male,walking,Courtown Harbour,13-18,at secondary school,4
2016,Male,walking,Courtown Harbour,19-66,at university,5
2016,Male,walking,Annacotty,15-66,working,34
2016,Male,walking,Annacotty,5-12,at primary school,14
2016,Male,walking,Annacotty,13-18,at secondary school,52
2016,Male,walking,Annacotty,19-66,at university,12
2016,Male,walking,Moate,15-66,working,36
2016,Male,walking,Moate,5-12,at primary school,34
2016,Male,walking,Moate,13-18,at secondary school,37
2016,Male,walking,Moate,19-66,at university,13
2016,Male,walking,Ballinrobe,15-66,working,65
2016,Male,walking,Ballinrobe,5-12,at primary school,52
2016,Male,walking,Ballinrobe,13-18,at secondary school,32
2016,Male,walking,Ballinrobe,19-66,at university,7
2016,Male,walking,Kilrush,15-66,working,58
2016,Male,walking,Kilrush,5-12,at primary school,47
2016,Male,walking,Kilrush,13-18,at secondary school,24
2016,Male,walking,Kilrush,19-66,at university,13
2016,Male,walking,Skibbereen,15-66,working,91
2016,Male,walking,Skibbereen,5-12,at primary school,43
2016,Male,walking,Skibbereen,13-18,at secondary school,31
2016,Male,walking,Skibbereen,19-66,at university,11
2016,Male,walking,Kinnegad,15-66,working,14
2016,Male,walking,Kinnegad,5-12,at primary school,122
2016,Male,walking,Kinnegad,13-18,at secondary school,1
2016,Male,walking,Kinnegad,19-66,at university,6
2016,Male,walking,Newcastle,15-66,working,17
2016,Male,walking,Newcastle,5-12,at primary school,100
2016,Male,walking,Newcastle,13-18,at secondary school,4
2016,Male,walking,Newcastle,19-66,at university,1
2016,Male,walking,Gort,15-66,working,49
2016,Male,walking,Gort,5-12,at primary school,40
2016,Male,walking,Gort,13-18,at secondary school,54
2016,Male,walking,Gort,19-66,at university,8
2016,Male,walking,Donegal,15-66,working,84
2016,Male,walking,Donegal,5-12,at primary school,18
2016,Male,walking,Donegal,13-18,at secondary school,23
2016,Male,walking,Donegal,19-66,at university,6
2016,Male,walking,Boyle,15-66,working,41
2016,Male,walking,Boyle,5-12,at primary school,42
2016,Male,walking,Boyle,13-18,at secondary school,49
2016,Male,walking,Boyle,19-66,at university,14
2016,Male,walking,Ballyjamesduff,15-66,working,73
2016,Male,walking,Ballyjamesduff,5-12,at primary school,100
2016,Male,walking,Ballyjamesduff,13-18,at secondary school,71
2016,Male,walking,Ballyjamesduff,19-66,at university,7
2016,Male,walking,Carndonagh,15-66,working,27
2016,Male,walking,Carndonagh,5-12,at primary school,12
2016,Male,walking,Carndonagh,13-18,at secondary school,42
2016,Male,walking,Carndonagh,19-66,at university,11
2016,Male,walking,Bailieborough,15-66,working,31
2016,Male,walking,Bailieborough,5-12,at primary school,42
2016,Male,walking,Bailieborough,13-18,at secondary school,39
2016,Male,walking,Bailieborough,19-66,at university,8
2016,Male,walking,Castleisland,15-66,working,73
2016,Male,walking,Castleisland,5-12,at primary school,38
2016,Male,walking,Castleisland,13-18,at secondary school,37
2016,Male,walking,Castleisland,19-66,at university,6
2016,Male,walking,Sixmilebridge,15-66,working,16
2016,Male,walking,Sixmilebridge,5-12,at primary school,105
2016,Male,walking,Sixmilebridge,13-18,at secondary school,0
2016,Male,walking,Sixmilebridge,19-66,at university,1
2016,Male,walking,Ballyshannon,15-66,working,50
2016,Male,walking,Ballyshannon,5-12,at primary school,33
2016,Male,walking,Ballyshannon,13-18,at secondary school,50
2016,Male,walking,Ballyshannon,19-66,at university,4
2016,Male,walking,Ballina (North Tipperary),15-66,working,18
2016,Male,walking,Ballina (North Tipperary),5-12,at primary school,104
2016,Male,walking,Ballina (North Tipperary),13-18,at secondary school,35
2016,Male,walking,Ballina (North Tipperary),19-66,at university,9
