year,sex,means_of_travel,aggregate_town_or_rural_area,time_leaving_home,age,edu_level,value
2011,Male,bus,Aggregate Rural Area,07:31 - 08:00,13 to 18,leaving-cert,13147
2011,Male,bus,Aggregate Rural Area,07:31 - 08:00,>=19,university,947
2011,Male,bus,Aggregate Rural Area,08:01 - 08:30,>=15,junior-cert,436
2011,Male,bus,Aggregate Rural Area,08:01 - 08:30,5 to 12,primary-school,3127
2011,Male,bus,Aggregate Rural Area,08:01 - 08:30,13 to 18,leaving-cert,13475
2011,Male,bus,Aggregate Rural Area,08:01 - 08:30,>=19,university,875
2011,Male,bus,Aggregate Rural Area,08:31 - 09:00,>=15,junior-cert,213
2011,Male,bus,Aggregate Rural Area,08:31 - 09:00,5 to 12,primary-school,11164
2011,Male,bus,Aggregate Rural Area,08:31 - 09:00,13 to 18,leaving-cert,2354
2011,Male,bus,Aggregate Rural Area,08:31 - 09:00,>=19,university,504
2011,Male,bus,Aggregate Rural Area,09:01 - 09:30,>=15,junior-cert,112
2011,Male,bus,Aggregate Rural Area,09:01 - 09:30,5 to 12,primary-school,5560
2011,Male,bus,Aggregate Rural Area,09:01 - 09:30,13 to 18,leaving-cert,270
2011,Male,bus,Aggregate Rural Area,09:01 - 09:30,>=19,university,230
2011,Male,bus,Aggregate Rural Area,After 09:30,>=15,junior-cert,252
2011,Male,bus,Aggregate Rural Area,After 09:30,5 to 12,primary-school,29
2011,Male,bus,Aggregate Rural Area,After 09:30,13 to 18,leaving-cert,68
2011,Male,bus,Aggregate Rural Area,After 09:30,>=19,university,249
2011,Male,bus,Aggregate Rural Area,na,>=15,junior-cert,52
2011,Male,bus,Aggregate Rural Area,na,5 to 12,primary-school,80
2011,Male,bus,Aggregate Rural Area,na,13 to 18,leaving-cert,111
2011,Male,bus,Aggregate Rural Area,na,>=19,university,43
2011,Male,train,Aggregate Town Area,Before 06:30,>=15,junior-cert,1685
2011,Male,train,Aggregate Town Area,Before 06:30,5 to 12,primary-school,1
2011,Male,train,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,10
2011,Male,train,Aggregate Town Area,Before 06:30,>=19,university,90
2011,Male,train,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,2952
2011,Male,train,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,3
2011,Male,train,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,86
2011,Male,train,Aggregate Town Area,06:30 - 07:00,>=19,university,253
2011,Male,train,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,4101
2011,Male,train,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,44
2011,Male,train,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,566
