year,sex,travelling_time,time_leaving_home,age,edu_level,value
2011,Female,< ¼ hour,06:30 - 07:00,5 to 12,primary-school,70
2011,Female,< ¼ hour,06:30 - 07:00,13 to 18,leaving-cert,26
2011,Female,< ¼ hour,06:30 - 07:00,>=19,university,146
2011,Female,< ¼ hour,07:01 - 07:30,>=15,junior-cert,12308
2011,Female,< ¼ hour,07:01 - 07:30,5 to 12,primary-school,411
2011,Female,< ¼ hour,07:01 - 07:30,13 to 18,leaving-cert,241
2011,Female,< ¼ hour,07:01 - 07:30,>=19,university,266
2011,Female,< ¼ hour,07:31 - 08:00,>=15,junior-cert,27013
2011,Female,< ¼ hour,07:31 - 08:00,5 to 12,primary-school,2022
2011,Female,< ¼ hour,07:31 - 08:00,13 to 18,leaving-cert,2866
2011,Female,< ¼ hour,07:31 - 08:00,>=19,university,656
2011,Female,< ¼ hour,08:01 - 08:30,>=15,junior-cert,30061
2011,Female,< ¼ hour,08:01 - 08:30,5 to 12,primary-school,19252
2011,Female,< ¼ hour,08:01 - 08:30,13 to 18,leaving-cert,20742
2011,Female,< ¼ hour,08:01 - 08:30,>=19,university,2200
2011,Female,< ¼ hour,08:31 - 09:00,>=15,junior-cert,61049
2011,Female,< ¼ hour,08:31 - 09:00,5 to 12,primary-school,85179
2011,Female,< ¼ hour,08:31 - 09:00,13 to 18,leaving-cert,32035
2011,Female,< ¼ hour,08:31 - 09:00,>=19,university,10426
2011,Female,< ¼ hour,09:01 - 09:30,>=15,junior-cert,29152
2011,Female,< ¼ hour,09:01 - 09:30,5 to 12,primary-school,53066
2011,Female,< ¼ hour,09:01 - 09:30,13 to 18,leaving-cert,2337
2011,Female,< ¼ hour,09:01 - 09:30,>=19,university,4268
2011,Female,< ¼ hour,After 09:30,>=15,junior-cert,40342
2011,Female,< ¼ hour,After 09:30,5 to 12,primary-school,258
2011,Female,< ¼ hour,After 09:30,13 to 18,leaving-cert,536
2011,Female,< ¼ hour,After 09:30,>=19,university,4201
2011,Female,¼ hour - < ½ hour,Before 06:30,>=15,junior-cert,8862
2011,Female,¼ hour - < ½ hour,Before 06:30,5 to 12,primary-school,13
2011,Female,¼ hour - < ½ hour,Before 06:30,13 to 18,leaving-cert,38
2011,Female,¼ hour - < ½ hour,Before 06:30,>=19,university,137
2011,Female,¼ hour - < ½ hour,06:30 - 07:00,>=15,junior-cert,14695
2011,Female,¼ hour - < ½ hour,06:30 - 07:00,5 to 12,primary-school,119
2011,Female,¼ hour - < ½ hour,06:30 - 07:00,13 to 18,leaving-cert,130
2011,Female,¼ hour - < ½ hour,06:30 - 07:00,>=19,university,373
2011,Female,¼ hour - < ½ hour,07:01 - 07:30,>=15,junior-cert,24880
2011,Female,¼ hour - < ½ hour,07:01 - 07:30,5 to 12,primary-school,491
2011,Female,¼ hour - < ½ hour,07:01 - 07:30,13 to 18,leaving-cert,1282
2011,Female,¼ hour - < ½ hour,07:01 - 07:30,>=19,university,658
2011,Female,¼ hour - < ½ hour,07:31 - 08:00,>=15,junior-cert,38213
2011,Female,¼ hour - < ½ hour,07:31 - 08:00,5 to 12,primary-school,3078
2011,Female,¼ hour - < ½ hour,07:31 - 08:00,13 to 18,leaving-cert,12813
2011,Female,¼ hour - < ½ hour,07:31 - 08:00,>=19,university,2027
