year,sex,home,travelling_time,age_range,edu_status,value
2011,Male,Meath,0.525,13-18,at secondary school,254
2011,Male,Meath,0.525,19-66,at university,341
2011,Male,Meath,1.25,15-66,working,5415
2011,Male,Meath,1.25,5-12,at primary school,89
2011,Male,Meath,1.25,13-18,at secondary school,293
2011,Male,Meath,1.25,19-66,at university,637
2011,Male,Meath,1.3,15-66,working,1558
2011,Male,Meath,1.3,5-12,at primary school,27
2011,Male,Meath,1.3,13-18,at secondary school,99
2011,Male,Meath,1.3,19-66,at university,281
2011,Male,Offaly,0.125,15-66,working,4143
2011,Male,Offaly,0.125,5-12,at primary school,3479
2011,Male,Offaly,0.125,13-18,at secondary school,1417
2011,Male,Offaly,0.125,19-66,at university,265
2011,Male,Offaly,0.275,15-66,working,3197
2011,Male,Offaly,0.275,5-12,at primary school,869
2011,Male,Offaly,0.275,13-18,at secondary school,992
2011,Male,Offaly,0.275,19-66,at university,240
2011,Male,Offaly,0.375,15-66,working,2211
2011,Male,Offaly,0.375,5-12,at primary school,164
2011,Male,Offaly,0.375,13-18,at secondary school,373
2011,Male,Offaly,0.375,19-66,at university,173
2011,Male,Offaly,0.525,15-66,working,788
2011,Male,Offaly,0.525,5-12,at primary school,26
2011,Male,Offaly,0.525,13-18,at secondary school,58
2011,Male,Offaly,0.525,19-66,at university,89
2011,Male,Offaly,1.25,15-66,working,1314
2011,Male,Offaly,1.25,5-12,at primary school,17
2011,Male,Offaly,1.25,13-18,at secondary school,40
2011,Male,Offaly,1.25,19-66,at university,107
2011,Male,Offaly,1.3,15-66,working,756
2011,Male,Offaly,1.3,5-12,at primary school,9
2011,Male,Offaly,1.3,13-18,at secondary school,19
2011,Male,Offaly,1.3,19-66,at university,97
2011,Male,Westmeath,0.125,15-66,working,4900
2011,Male,Westmeath,0.125,5-12,at primary school,3534
2011,Male,Westmeath,0.125,13-18,at secondary school,1239
2011,Male,Westmeath,0.125,19-66,at university,547
2011,Male,Westmeath,0.275,15-66,working,3902
2011,Male,Westmeath,0.275,5-12,at primary school,1090
2011,Male,Westmeath,0.275,13-18,at secondary school,1294
2011,Male,Westmeath,0.275,19-66,at university,421
2011,Male,Westmeath,0.375,15-66,working,2073
2011,Male,Westmeath,0.375,5-12,at primary school,179
2011,Male,Westmeath,0.375,13-18,at secondary school,469
2011,Male,Westmeath,0.375,19-66,at university,153
2011,Male,Westmeath,0.525,15-66,working,915
2011,Male,Westmeath,0.525,5-12,at primary school,33
2011,Male,Westmeath,0.525,13-18,at secondary school,88
2011,Male,Westmeath,0.525,19-66,at university,86
2011,Male,Westmeath,1.25,15-66,working,1748
2011,Male,Westmeath,1.25,5-12,at primary school,23
2011,Male,Westmeath,1.25,13-18,at secondary school,60
2011,Male,Westmeath,1.25,19-66,at university,115
2011,Male,Westmeath,1.3,15-66,working,907
2011,Male,Westmeath,1.3,5-12,at primary school,3
2011,Male,Westmeath,1.3,13-18,at secondary school,16
2011,Male,Westmeath,1.3,19-66,at university,95
2011,Male,Wexford,0.125,15-66,working,7856
2011,Male,Wexford,0.125,5-12,at primary school,6411
2011,Male,Wexford,0.125,13-18,at secondary school,1994
2011,Male,Wexford,0.125,19-66,at university,503
2011,Male,Wexford,0.275,15-66,working,6109
2011,Male,Wexford,0.275,5-12,at primary school,1652
2011,Male,Wexford,0.275,13-18,at secondary school,2096
2011,Male,Wexford,0.275,19-66,at university,448
2011,Male,Wexford,0.375,15-66,working,3598
2011,Male,Wexford,0.375,5-12,at primary school,306
2011,Male,Wexford,0.375,13-18,at secondary school,865
2011,Male,Wexford,0.375,19-66,at university,269
2011,Male,Wexford,0.525,15-66,working,1141
2011,Male,Wexford,0.525,5-12,at primary school,59
