year,sex,means_of_travel,age_range,edu_status,value
2006,Male,walking,13-18,at secondary school,36416
2006,Male,walking,19-66,at university,19099
2006,Male,bike,15-66,working,27948
2006,Male,bike,5-12,at primary school,3043
2006,Male,bike,13-18,at secondary school,6856
2006,Male,bike,19-66,at university,4560
2006,Male,bus,15-66,working,54271
2006,Male,bus,5-12,at primary school,34413
2006,Male,bus,13-18,at secondary school,52639
2006,Male,bus,19-66,at university,16233
2006,Male,train,15-66,working,28049
2006,Male,train,5-12,at primary school,328
2006,Male,train,13-18,at secondary school,2673
2006,Male,train,19-66,at university,5001
2006,Male,motorbike,15-66,working,11225
2006,Male,motorbike,5-12,at primary school,0
2006,Male,motorbike,13-18,at secondary school,399
2006,Male,motorbike,19-66,at university,646
2006,Male,car,15-66,working,580034
2006,Male,car,5-12,at primary school,0
2006,Male,car,13-18,at secondary school,2668
2006,Male,car,19-66,at university,13248
2006,Male,carpool,15-66,working,55033
2006,Male,carpool,5-12,at primary school,125866
2006,Male,carpool,13-18,at secondary school,45750
2006,Male,carpool,19-66,at university,5100
2006,Male,truck,15-66,working,143533
2006,Male,truck,5-12,at primary school,797
2006,Male,truck,13-18,at secondary school,483
2006,Male,truck,19-66,at university,421
2006,Male,remote,15-66,working,69261
2006,Male,remote,5-12,at primary school,4394
2006,Male,remote,13-18,at secondary school,2020
2006,Male,remote,19-66,at university,1099
2006,Female,walking,15-66,working,111121
2006,Female,walking,5-12,at primary school,53254
2006,Female,walking,13-18,at secondary school,37930
2006,Female,walking,19-66,at university,24924
2006,Female,bike,15-66,working,8358
2006,Female,bike,5-12,at primary school,1044
2006,Female,bike,13-18,at secondary school,521
2006,Female,bike,19-66,at university,1630
2006,Female,bus,15-66,working,60685
2006,Female,bus,5-12,at primary school,32937
2006,Female,bus,13-18,at secondary school,55761
2006,Female,bus,19-66,at university,20010
2006,Female,train,15-66,working,26893
2006,Female,train,5-12,at primary school,266
2006,Female,train,13-18,at secondary school,2675
2006,Female,train,19-66,at university,5773
2006,Female,motorbike,15-66,working,1824
2006,Female,motorbike,5-12,at primary school,0
2006,Female,motorbike,13-18,at secondary school,88
2006,Female,motorbike,19-66,at university,156
2006,Female,car,15-66,working,500412
2006,Female,car,5-12,at primary school,0
2006,Female,car,13-18,at secondary school,2463
2006,Female,car,19-66,at university,19487
2006,Female,carpool,15-66,working,49828
2006,Female,carpool,5-12,at primary school,120936
2006,Female,carpool,13-18,at secondary school,50155
2006,Female,carpool,19-66,at university,6829
2006,Female,truck,15-66,working,3502
2006,Female,truck,5-12,at primary school,657
2006,Female,truck,13-18,at secondary school,359
2006,Female,truck,19-66,at university,156
2006,Female,remote,15-66,working,36445
2006,Female,remote,5-12,at primary school,3828
2006,Female,remote,13-18,at secondary school,1552
2006,Female,remote,19-66,at university,1319
2011,Male,walking,15-66,working,73714
2011,Male,walking,5-12,at primary school,59986
2011,Male,walking,13-18,at secondary school,37443
2011,Male,walking,19-66,at university,24393
2011,Male,bike,15-66,working,29075
2011,Male,bike,5-12,at primary school,4457
2011,Male,bike,13-18,at secondary school,6063
2011,Male,bike,19-66,at university,6215
2011,Male,bus,15-66,working,38595
2011,Male,bus,5-12,at primary school,31217
2011,Male,bus,13-18,at secondary school,48143
2011,Male,bus,19-66,at university,19305
2011,Male,train,15-66,working,25652
2011,Male,train,5-12,at primary school,371
2011,Male,train,13-18,at secondary school,2926
2011,Male,train,19-66,at university,6056
2011,Male,motorbike,15-66,working,7332
2011,Male,motorbike,5-12,at primary school,0
2011,Male,motorbike,13-18,at secondary school,181
2011,Male,motorbike,19-66,at university,506
2011,Male,car,15-66,working,515813
2011,Male,car,5-12,at primary school,0
2011,Male,car,13-18,at secondary school,3584
2011,Male,car,19-66,at university,24026
2011,Male,carpool,15-66,working,25818
2011,Male,carpool,5-12,at primary school,150818
2011,Male,carpool,13-18,at secondary school,61415
2011,Male,carpool,19-66,at university,7496
2011,Male,truck,15-66,working,127831
2011,Male,truck,5-12,at primary school,588
2011,Male,truck,13-18,at secondary school,498
2011,Male,truck,19-66,at university,1094
2011,Male,remote,15-66,working,59278
2011,Male,remote,5-12,at primary school,135
2011,Male,remote,13-18,at secondary school,137
2011,Male,remote,19-66,at university,239
2011,Female,walking,15-66,working,96796
2011,Female,walking,5-12,at primary school,58537
2011,Female,walking,13-18,at secondary school,36503
2011,Female,walking,19-66,at university,27566
2011,Female,bike,15-66,working,10728
2011,Female,bike,5-12,at primary school,1795
2011,Female,bike,13-18,at secondary school,529
2011,Female,bike,19-66,at university,2315
2011,Female,bus,15-66,working,53081
2011,Female,bus,5-12,at primary school,29046
2011,Female,bus,13-18,at secondary school,48010
2011,Female,bus,19-66,at university,21165
2011,Female,train,15-66,working,27097
2011,Female,train,5-12,at primary school,320
2011,Female,train,13-18,at secondary school,2714
2011,Female,train,19-66,at university,5840
2011,Female,motorbike,15-66,working,1111
2011,Female,motorbike,5-12,at primary school,0
2011,Female,motorbike,13-18,at secondary school,55
2011,Female,motorbike,19-66,at university,127
2011,Female,car,15-66,working,551638
2011,Female,car,5-12,at primary school,0
2011,Female,car,13-18,at secondary school,2755
2011,Female,car,19-66,at university,29580
2011,Female,carpool,15-66,working,43346
2011,Female,carpool,5-12,at primary school,145893
2011,Female,carpool,13-18,at secondary school,64757
2011,Female,carpool,19-66,at university,8795
2011,Female,truck,15-66,working,3187
2011,Female,truck,5-12,at primary school,490
2011,Female,truck,13-18,at secondary school,299
2011,Female,truck,19-66,at university,128
2011,Female,remote,15-66,working,24048
2011,Female,remote,5-12,at primary school,129
2011,Female,remote,13-18,at secondary school,108
2011,Female,remote,19-66,at university,353
2016,Male,walking,15-66,working,79566
2016,Male,walking,5-12,at primary school,64764
2016,Male,walking,13-18,at secondary school,37614
2016,Male,walking,19-66,at university,22484
2016,Male,bike,15-66,working,41341
2016,Male,bike,5-12,at primary school,4858
2016,Male,bike,13-18,at secondary school,6588
2016,Male,bike,19-66,at university,7323
2016,Male,bus,15-66,working,49788
2016,Male,bus,5-12,at primary school,29410
2016,Male,bus,13-18,at secondary school,49934
2016,Male,bus,19-66,at university,21441
2016,Male,train,15-66,working,32307
2016,Male,train,5-12,at primary school,383
2016,Male,train,13-18,at secondary school,2933
2016,Male,train,19-66,at university,6503
2016,Male,motorbike,15-66,working,6740
2016,Male,motorbike,5-12,at primary school,0
2016,Male,motorbike,13-18,at secondary school,97
2016,Male,motorbike,19-66,at university,336
2016,Male,car,15-66,working,561704
2016,Male,car,5-12,at primary school,0
2016,Male,car,13-18,at secondary school,2971
2016,Male,car,19-66,at university,21272
2016,Male,carpool,15-66,working,33351
2016,Male,carpool,5-12,at primary school,165890
2016,Male,carpool,13-18,at secondary school,71622
2016,Male,carpool,19-66,at university,8939
2016,Male,truck,15-66,working,134521
2016,Male,truck,5-12,at primary school,573
2016,Male,truck,13-18,at secondary school,401
2016,Male,truck,19-66,at university,726
2016,Male,remote,15-66,working,65608
2016,Male,remote,5-12,at primary school,147
2016,Male,remote,13-18,at secondary school,114
2016,Male,remote,19-66,at university,244
2016,Female,walking,15-66,working,95514
2016,Female,walking,5-12,at primary school,63454
2016,Female,walking,13-18,at secondary school,36497
2016,Female,walking,19-66,at university,26328
2016,Female,bike,15-66,working,15496
2016,Female,bike,5-12,at primary school,2468
2016,Female,bike,13-18,at secondary school,694
2016,Female,bike,19-66,at university,3355
2016,Female,bus,15-66,working,61648
2016,Female,bus,5-12,at primary school,26735
2016,Female,bus,13-18,at secondary school,49639
2016,Female,bus,19-66,at university,24502
2016,Female,train,15-66,working,30826
2016,Female,train,5-12,at primary school,318
2016,Female,train,13-18,at secondary school,2716
2016,Female,train,19-66,at university,6641
2016,Female,motorbike,15-66,working,1250
2016,Female,motorbike,5-12,at primary school,0
2016,Female,motorbike,13-18,at secondary school,63
2016,Female,motorbike,19-66,at university,79
2016,Female,car,15-66,working,590927
2016,Female,car,5-12,at primary school,0
2016,Female,car,13-18,at secondary school,2068
2016,Female,car,19-66,at university,23499
2016,Female,carpool,15-66,working,43984
2016,Female,carpool,5-12,at primary school,161149
2016,Female,carpool,13-18,at secondary school,75133
2016,Female,carpool,19-66,at university,10186
2016,Female,truck,15-66,working,3101
2016,Female,truck,5-12,at primary school,493
2016,Female,truck,13-18,at secondary school,294
2016,Female,truck,19-66,at university,118
2016,Female,remote,15-66,working,29347
2016,Female,remote,5-12,at primary school,155
2016,Female,remote,13-18,at secondary school,93
2016,Female,remote,19-66,at university,349
